G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G36193	Tanzania	L4	L4.3.4.2.1	11-08-2014	G36193/11-08-2014/1
G36134	Tanzania	L4	L4.1.1.3	12-08-2014	G36134/12-08-2014/1
G06481	Tanzania	L3	L3.1.1	13-08-2014	G06481/13-08-2014/1
G08122	Tanzania	L3	L3.1.1	13-08-2014	G08122/13-08-2014/1
G32181	Tanzania	L4	L4.3.4.2.1	13-08-2014	G32181/13-08-2014/1
G08123	Tanzania	L4	L4.3.4.2.1	14-08-2014	G08123/14-08-2014/1
G08124	Tanzania	L1	L1.1.2	14-08-2014	G08124/14-08-2014/1
G21769	Tanzania	L4	L4.3.4.2.1	15-08-2014	G21769/15-08-2014/1
G21793	Tanzania	L3	L3.1.1	20-08-2014	G21793/20-08-2014/1
G21818	Tanzania	L3	L3.1.1	20-08-2014	G21818/20-08-2014/1
G08226	Tanzania	L3	L3.1.1	21-08-2014	G08226/21-08-2014/1
G08125	Tanzania	L4	L4.3.4.2.1	21-08-2014	G08125/21-08-2014/1
G33419	Tanzania	L3	L3.1.1	22-08-2014	G33419/22-08-2014/1
G21803	Tanzania	L3	L3.1.1	25-08-2014	G21803/25-08-2014/1
G21833	Tanzania	L3	L3.1.1	25-08-2014	G21833/25-08-2014/1
G06485	Tanzania	L3	L3.1.1	25-08-2014	G06485/25-08-2014/1
G33416	Tanzania	L1	L1.2.2	27-08-2014	G33416/27-08-2014/1
G21784	Tanzania	L4	L4.3.4.2	28-08-2014	G21784/28-08-2014/1
G06480	Tanzania	L3	L3.1.1	29-08-2014	G06480/29-08-2014/1
G21780	Tanzania	L4	L4.3.3	02-09-2014	G21780/02-09-2014/1
G21821	Tanzania	L2	L2.2.1	03-09-2014	G21821/03-09-2014/1
G06477	Tanzania	L3	L3.1.1	03-09-2014	G06477/03-09-2014/1
G06482	Tanzania	L4	L4.6.2	05-09-2014	G06482/05-09-2014/1
G32908	Tanzania	L4	L4.3.3	08-09-2014	G32908/08-09-2014/1
G06457	Tanzania	L3	L3	16-09-2014	G06457/16-09-2014/1
G06459	Tanzania	L2	L2.2.1	10-09-2014	G06459/10-09-2014/1
G06483	Tanzania	L4	L4.3.4.2.1	10-09-2014	G06483/10-09-2014/1
G06460	Tanzania	L3	L3.1.1	11-09-2014	G06460/11-09-2014/1
G08196	Tanzania	L3	L3	11-09-2014	G08196/11-09-2014/1
G08108	Tanzania	L3	L3	11-09-2014	G08108/11-09-2014/1
G08197	Tanzania	L1	L1.1.2	15-09-2014	G08197/15-09-2014/1
G08198	Tanzania	L3	L3.1.1	19-09-2014	G08198/19-09-2014/1
G21776	Tanzania	L4	L4.3.4.2.1	23-09-2014	G21776/23-09-2014/1
G08199	Tanzania	L4	L4.3.3	24-09-2014	G08199/24-09-2014/1
G08200	Tanzania	L3	L3.1.1	25-09-2014	G08200/25-09-2014/1
G21820	Tanzania	L4	L4.2.2	26-09-2014	G21820/26-09-2014/1
G08224	Tanzania	L3	L3	29-09-2014	G08224/29-09-2014/1
G08229	Tanzania	L1	L1.1.2	29-09-2014	G08229/29-09-2014/1
G21794	Tanzania	L3	L3.1.1	02-10-2014	G21794/02-10-2014/1
G08109	Tanzania	L1	L1.1.2	02-10-2014	G08109/02-10-2014/1
G08110	Tanzania	L4	L4.3.4.2.1	02-10-2014	G08110/02-10-2014/1
G08201	Tanzania	L4	L4.3.4.2.1	06-10-2014	G08201/06-10-2014/1
G08203	Tanzania	L1	L1.1.2	07-10-2014	G08203/07-10-2014/1
G08204	Tanzania	L3	L3.1.1	07-10-2014	G08204/07-10-2014/1
G21835	Tanzania	L1	L1.1.2	08-10-2014	G21835/08-10-2014/1
G21852	Tanzania	L4	L4.8	08-10-2014	G21852/08-10-2014/1
G08205	Tanzania	L3	L3.1.1	08-10-2014	G08205/08-10-2014/1
G08206	Tanzania	L3	L3.1.1	09-10-2014	G08206/09-10-2014/1
G08207	Tanzania	L3	L3	09-10-2014	G08207/09-10-2014/1
G08219	Tanzania	L3	L3.1.1	13-10-2014	G08219/13-10-2014/1
G08128	Tanzania	L3	L3.1.1	17-10-2014	G08128/17-10-2014/1
G08208	Tanzania	L3	L3.1.1	17-10-2014	G08208/17-10-2014/1
G21791	Tanzania	L1	L1.1.2	17-10-2014	G21791/17-10-2014/1
G21811	Tanzania	L4	L4.3.4.2.1	21-10-2014	G21811/21-10-2014/1
G32281	Tanzania	L1	L1.2.2	20-10-2014	G32281/20-10-2014/1
G08209	Tanzania	L1	L1.1.2	22-10-2014	G08209/22-10-2014/1
G08210	Tanzania	L4	L4.6.1.1	23-10-2014	G08210/23-10-2014/1
G08211	Tanzania	L4	L4.3.4.2.1	23-10-2014	G08211/23-10-2014/1
G08212	Tanzania	L3	L3.1.1	23-10-2014	G08212/23-10-2014/1
G21826	Tanzania	L4	L4.3.3	24-10-2014	G21826/24-10-2014/1
G08220	Tanzania	L1	L1.1.2	29-10-2014	G08220/29-10-2014/1
G21816	Tanzania	L3	L3.1.1	28-10-2014	G21816/28-10-2014/1
G08113	Tanzania	L4	L4.6.1.1	04-11-2014	G08113/04-11-2014/1
G08114	Tanzania	L1	L1.1.2	30-10-2014	G08114/30-10-2014/1
G21782	Tanzania	L4	L4.3.3	30-10-2014	G21782/30-10-2014/1
G06447	Tanzania	L4	L4.3.4.2.1	04-11-2014	G06447/04-11-2014/1
G06461	Tanzania	L3	L3.1.2	05-11-2014	G06461/05-11-2014/1
G06454	Tanzania	L4	L4.6.2.2	05-11-2014	G06454/05-11-2014/1
G06450	Tanzania	L3	L3.1.1	06-11-2014	G06450/06-11-2014/1
G08129	Tanzania	L3	L3.1.1	06-11-2014	G08129/06-11-2014/1
G06456	Tanzania	L4	L4.6.1.1	10-11-2014	G06456/10-11-2014/1
G44613	Tanzania	L4	L4.3.3	07-11-2014	G44613/07-11-2014/1
G08130	Tanzania	L4	L4.3.4.2.1	10-11-2014	G08130/10-11-2014/1
G06439	Tanzania	L3	L3.1.1	11-11-2014	G06439/11-11-2014/1
G08221	Tanzania	L3	L3.1.1	13-11-2014	G08221/13-11-2014/1
G21834	Tanzania	L4	L4.2.2	14-11-2014	G21834/14-11-2014/1
G08222	Tanzania	L3	L3.1.1	18-11-2014	G08222/18-11-2014/1
G21815	Tanzania	L3	L3	18-11-2014	G21815/18-11-2014/1
G08223	Tanzania	L4	L4.6.1.2	18-11-2014	G08223/18-11-2014/1
G21809	Tanzania	L1	L1.2.2	19-11-2014	G21809/19-11-2014/1
G08131	Tanzania	L3	L3.1.1	21-11-2014	G08131/21-11-2014/1
G21772	Tanzania	L3	L3.1.1	25-11-2014	G21772/25-11-2014/1
G21831	Tanzania	L4	L4.3.4.2.1	28-11-2014	G21831/28-11-2014/1
G08132	Tanzania	L3	L3.1.1	03-12-2014	G08132/03-12-2014/1
G08133	Tanzania	L3	L3	04-12-2014	G08133/04-12-2014/1
G08134	Tanzania	L3	L3.1.1	04-12-2014	G08134/04-12-2014/1
G08135	Tanzania	L3	L3.1.1	04-12-2014	G08135/04-12-2014/1
G08136	Tanzania	L3	L3.1.1	05-12-2014	G08136/05-12-2014/1
G36111	Tanzania	L4	L4.2.2	08-12-2014	G36111/08-12-2014/1
G08137	Tanzania	L3	L3.1.1	08-12-2014	G08137/08-12-2014/1
G08138	Tanzania	L4	L4.4.1.1	10-12-2014	G08138/10-12-2014/1
G08139	Tanzania	L4	L4.1.2.1	11-12-2014	G08139/11-12-2014/1
G08140	Tanzania	L1	L1.1.2	09-01-2015	G08140/09-01-2015/1
G08141	Tanzania	L3	L3	12-12-2014	G08141/12-12-2014/1
G08142	Tanzania	L3	L3.1.1	15-12-2014	G08142/15-12-2014/1
G21813	Tanzania	L4	L4.3.3	15-12-2014	G21813/15-12-2014/1
G08213	Tanzania	L3	L3.1.1	16-12-2014	G08213/16-12-2014/1
G08214	Tanzania	L3	L3.1.1	17-12-2014	G08214/17-12-2014/1
G08215	Tanzania	L4	L4.8	17-12-2014	G08215/17-12-2014/1
G21805	Tanzania	L3	L3.1.2.1	17-12-2014	G21805/17-12-2014/1
G21767	Tanzania	L3	L3.1.1	18-12-2014	G21767/18-12-2014/1
G08217	Tanzania	L3	L3.1.1	22-12-2014	G08217/22-12-2014/1
G21795	Tanzania	L4	L4.3.3	22-12-2014	G21795/22-12-2014/1
G21771	Tanzania	L3	L3.1.1	07-01-2015	G21771/07-01-2015/1
G21799	Tanzania	L3	L3.1.1	09-01-2015	G21799/09-01-2015/1
G21783	Tanzania	L3	L3	08-01-2015	G21783/08-01-2015/1
G21775	Tanzania	L3	L3	13-01-2015	G21775/13-01-2015/1
G44632	Tanzania	L1	L1.1.2	13-01-2015	G44632/13-01-2015/1
G21777	Tanzania	L4	L4.1.2.1	15-01-2015	G21777/15-01-2015/1
G25814	Tanzania	L4	L4.3.4.2.1	15-01-2015	G25814/15-01-2015/1
G21787	Tanzania	L2	L2.2.1	16-01-2015	G21787/16-01-2015/1
G21802	Tanzania	L4	L4.3.4.2.1	16-01-2015	G21802/16-01-2015/1
G21768	Tanzania	L3	L3.1.1	19-01-2015	G21768/19-01-2015/1
G21842	Tanzania	L1	L1.1.2	20-01-2015	G21842/20-01-2015/1
G21806	Tanzania	L2	L2.2.1	21-01-2015	G21806/21-01-2015/1
G21810	Tanzania	L3	L3.1.1	22-01-2015	G21810/22-01-2015/1
G21770	Tanzania	L3	L3.1.1	21-01-2015	G21770/21-01-2015/1
G21843	Tanzania	L3	L3.1.1	04-02-2015	G21843/04-02-2015/1
G21808	Tanzania	L4	L4.3.4.2.1	04-02-2015	G21808/04-02-2015/1
G21828	Tanzania	L3	L3.1.1	09-02-2015	G21828/09-02-2015/1
G21830	Tanzania	L3	L3.1.1	11-02-2015	G21830/11-02-2015/1
G21796	Tanzania	L4	L4.3.4.2.1	17-03-2015	G21796/17-03-2015/1
G21792	Tanzania	L3	L3.1.1	16-02-2015	G21792/16-02-2015/1
G21778	Tanzania	L4	L4.3.4.2	18-02-2015	G21778/18-02-2015/1
G21797	Tanzania	L2	L2.2.1	18-02-2015	G21797/18-02-2015/1
G44608	Tanzania	L4	L4.3.4.2.1	18-02-2015	G44608/18-02-2015/1
G21839	Tanzania	L2	L2.2.1	09-03-2015	G21839/09-03-2015/1
G21788	Tanzania	L3	L3.1.1	12-03-2015	G21788/12-03-2015/1
G44633	Tanzania	L3	L3.1.1	16-03-2015	G44633/16-03-2015/1
G44612	Tanzania	L3	L3.1.1	23-03-2015	G44612/23-03-2015/1
G42450	Tanzania	L3	L3.1.1	24-03-2015	G42450/24-03-2015/1
G21807	Tanzania	L3	L3.1.1	25-03-2015	G21807/25-03-2015/1
G21785	Tanzania	L4	L4.3.4.2.1	26-03-2015	G21785/26-03-2015/1
